country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Singapore,2010,SGP,5131170,3.01E+11,,,56.62,-33.478,-37.16,11.035,0.188,0.071,0.026,0.005,115.722,22.553,0.384,,1690.354,5.941,,142.824,1541.589,,155495.984,2.648,,,14.858,2.895,10.904,10.894,3.16,0.616,6.75,1.315,41.737,8.134,,,797.876,,0.17,0,,0.13,0,,0.08,0.32,,,0.24,0.37,,55.9,55.95,59.102,104.38
Singapore,2011,SGP,5263640,3.24E+11,,,30.272,-26.348,-46.53,5.751,0.094,0.036,0.026,0.005,110.083,20.914,0.34,,1720.626,5.966,,157.831,1556.828,,157603.156,2.564,,,15.008,2.851,11.211,11.201,3.3,0.627,7.11,1.351,15.239,2.895,,,829.566,,0.09,0,,0.13,0,,0.09,0.32,,,0.24,0.13,,58.96,59.01,79.811,263.65
Singapore,2012,SGP,5369469,3.36E+11,,,48.145,17.873,59.04,8.966,0.143,0.058,0.103,0.019,122.464,22.807,0.364,,1768.771,6.069,,174.107,1588.595,,155156.953,2.479,,,16.275,3.031,10.915,10.906,3.44,0.641,7.42,1.382,31.767,5.916,,,833.11,,0.14,0,,0.13,0,,0.09,0.32,,,0.25,0.28,,58.56,58.61,74.319,154.36
Singapore,2013,SGP,5453732,3.53E+11,,,54.366,6.221,12.92,9.969,0.154,0.064,1.136,0.208,122.929,22.54,0.348,,1823.137,7.205,,192.43,1623.502,,156129.219,2.413,,,18.324,3.36,10.91,10.901,3.58,0.656,7.74,1.419,34.907,6.401,,,851.487,,0.15,0.01,,0.13,0,,0.1,0.32,,,0.28,0.3,,59.45,59.5,68.562,126.11
Singapore,2014,SGP,5525628,3.66E+11,,,55.209,0.843,1.55,9.991,0.151,0.063,1.674,0.303,120.469,21.802,0.33,,1878.346,8.879,,211.645,1657.823,,158572.484,2.397,,,19.214,3.477,10.978,10.969,3.72,0.673,8.06,1.459,34.321,6.211,,,876.213,,0.16,0.01,,0.13,0,,0.1,0.32,,,0.29,0.3,,60.61,60.66,65.259,118.2
Singapore,2015,SGP,5592143,3.73E+11,,,62.13,6.921,12.54,11.11,0.167,0.067,1.751,0.313,114.269,20.434,0.307,,1940.477,10.631,,231.199,1698.647,,166620.453,2.501,,,19.555,3.497,11.155,11.146,3.86,0.69,8.39,1.5,40.824,7.3,,,931.765,,0.18,0.01,,0.13,0,,0.11,0.32,,,0.29,0.34,,62.33,62.38,52.138,83.92
Singapore,2016,SGP,5653625,3.80E+11,,,40.275,-21.856,-35.18,7.124,0.106,0.042,1.832,0.324,106.509,18.839,0.28,,1980.751,12.463,,251.245,1717.044,,171013.75,2.544,,,20.046,3.546,11.281,11.287,3.96,0.7,8.78,1.553,18.397,3.254,,,966.848,,0.11,0.01,,0.13,0,,0.12,0.32,,,0.29,0.15,,63.81,63.78,66.235,164.46
Singapore,2017,SGP,5708042,3.97E+11,,,39.066,-1.209,-3,6.844,0.098,0.039,2.063,0.361,108.774,19.056,0.274,,2019.817,14.525,,271.401,1733.891,,174703.797,2.515,,,20.156,3.531,11.836,11.841,4.06,0.711,9.18,1.608,16.847,2.951,,,997.217,,0.11,0.01,,0.13,0,,0.12,0.31,,,0.28,0.14,,67.59,67.56,69.708,178.44
Singapore,2018,SGP,5757503,4.10E+11,,,46.002,6.936,17.75,7.99,0.112,0.046,2.085,0.362,113.703,19.749,0.277,,2065.819,16.61,,291.985,1757.223,,174148.984,2.445,,,20.584,3.575,11.554,11.561,4.15,0.721,9.55,1.659,23.332,4.052,,,1002.663,,0.13,0.01,,0.13,0,,0.13,0.31,,,0.28,0.19,,66.56,66.52,67.701,147.17
Thailand,2010,THA,67195032,8.76E+11,12.104,0.18,255.405,13.131,5.42,3.801,0.292,0.209,56.144,0.836,249.68,3.716,0.285,334.483,4609.523,764.395,,860.487,2650.158,,18191.402,1.395,,,80.983,1.205,5.223,4.76,82.22,1.224,23.63,0.352,106.173,1.58,,,1222.372,0.97,0.77,0.4,1.18,0.34,0.12,,0.49,0.56,,,1.3,0.94,,319.84,350.96,-5.725,-2.24
